X,Y,OBJECTID,事務所名,路線名,管理番号,照明灯種別,設置位置,緯度,経度,X座標,Y座標
138.31675,34.8805277800001,37,島田土木事務所,（国）１５０号,F150B-71,高圧ナトリウム灯,焼津市中里（ミヤジマ商店西側）下り,34.88052778,138.31675,-16751.17007,-124176.2153
138.3151944,34.8802222200001,38,島田土木事務所,（国）１５０号,F150B-72,高圧ナトリウム灯,焼津市中里（アサヒオート北側）上り,34.88022222,138.3151944,-16893.42894,-124209.8492
138.3150556,34.88002778,39,島田土木事務所,（国）１５０号,F150B-73,高圧ナトリウム灯,焼津市中里（アサヒオート西側）下り,34.88002778,138.3150556,-16906.16406,-124231.3945
138.3056667,34.87802778,40,島田土木事務所,（国）１５０号,F150B-74,高圧ナトリウム灯,焼津市八楠（八楠西地下道の西側）上り,34.87802778,138.3056667,-17764.85386,-124451.625
138.30575,34.87761111,41,島田土木事務所,（国）１５０号,F150B-75,高圧ナトリウム灯,焼津市八楠（八楠西地下道の西側）下り,34.87761111,138.30575,-17757.3259,-124497.8599
138.3021944,34.87694444,42,島田土木事務所,（国）１５０号,F150B-76,高圧ナトリウム灯,焼津市大覚寺（大覚寺東地下道の東側）上り,34.87694444,138.3021944,-18082.50316,-124571.176
138.3025556,34.87655556,43,島田土木事務所,（国）１５０号,F150B-77,高圧ナトリウム灯,焼津市大覚寺（大覚寺東地下道の東側）下り,34.87655556,138.3025556,-18049.57613,-124614.3786
138.3008611,34.8640277800001,44,島田土木事務所,（国）１５０号,F150B-78,高圧ナトリウム灯,焼津市五ヶ堀之内地内,34.86402778,138.3008611,-18207.23757,-126003.7454
138.1273889,35.0973055600001,45,島田土木事務所,（国）３６２号,G362-7-9,高圧ナトリウム灯,川根本町崎平地内　柳崎大橋上部,35.09730556,138.1273889,-33971.35417,-100081.0188
138.0871389,35.0480555600001,46,島田土木事務所,（国）３６２号,G362-新49,,川根本町上長尾,35.04805556,138.0871389,-37663.63231,-105529.9471
138.088,35.0490555600001,47,島田土木事務所,（国）３６２号,G362-新50,,川根本町上長尾,35.04905556,138.088,-37584.61821,-105419.3405
138.0886389,35.04980556,48,島田土木事務所,（国）３６２号,G362-新51,,川根本町上長尾,35.04980556,138.0886389,-37525.9922,-105336.3824
138.1208056,35.0906666700001,49,島田土木事務所,（国）３６２号,G362-7-13-6,高圧ナトリウム灯,川根本町崎平,35.09066667,138.1208056,-34574.36863,-100815.2202
138.1204722,35.09055556,50,島田土木事務所,（国）３６２号,G362-7-13-7,高圧ナトリウム灯,川根本町崎平,35.09055556,138.1204722,-34604.80915,-100827.4302
138.1187778,35.09041667,51,島田土木事務所,（国）３６２号,G362-7-13-8,高圧ナトリウム灯,川根本町青部,35.09041667,138.1187778,-34759.36552,-100842.2479
138.1272778,35.0978611100001,52,島田土木事務所,（国）３６２号,G362-8,高圧ナトリウム灯,川根本町田代,35.09786111,138.1272778,-33981.25373,-100019.3526
138.1357222,35.1013055600001,53,島田土木事務所,（国）３６２号,G362-15-5-1,高圧ナトリウム灯,川根本町田代,35.10130556,138.1357222,-33209.96983,-99640.09972
138.12825,35.10044444,54,島田土木事務所,（国）３６２号,G362-10,高圧ナトリウム灯,川根本町田代　田代トンネル北口,35.10044444,138.12825,-33891.54642,-99733.10953
138.1293611,35.10075,55,島田土木事務所,（国）３６２号,G362-11,高圧ナトリウム灯,川根本町田代,35.10075,138.1293611,-33790.12265,-99699.59048
138.1275556,35.09305556,56,島田土木事務所,（国）３６２号,G362-7-12,高圧ナトリウム灯,川根本町崎平,35.09305556,138.1275556,-33957.92064,-100552.5367
138.1227222,35.0912222200001,57,島田土木事務所,（国）３６２号,G362-7-12-1,高圧ナトリウム灯,川根本町崎平,35.09122222,138.1227222,-34399.37635,-100754.2552
138.1221944,35.0912222200001,58,島田土木事務所,（国）３６２号,G362-7-13-1,高圧ナトリウム灯,川根本町崎平,35.09122222,138.1221944,-34447.49843,-100754.0729
138.1219167,35.0911666700001,59,島田土木事務所,（国）３６２号,G362-7-13-2,高圧ナトリウム灯,川根本町崎平,35.09116667,138.1219167,-34472.84841,-100760.1391
138.1216389,35.0910833300001,60,島田土木事務所,（国）３６２号,G362-7-13-3,高圧ナトリウム灯,川根本町崎平,35.09108333,138.1216389,-34498.21103,-100769.2881
